SimulationType,Batch,ETs,ETq,ES,EN,ENq,rho,lambda
INFINITE,0,0,0,0,0,0,0,0
INFINITE,1,20.189232,0.259235,19.929997,24.460338,0.314077,0.731705,1.211554
INFINITE,2,19.901025,0.181565,19.719460,23.788344,0.218266,0.714245,1.195094
INFINITE,3,19.783824,0.139483,19.644342,23.372016,0.166770,0.703189,1.181044
INFINITE,4,19.783628,0.117723,19.665904,23.548973,0.141036,0.709331,1.190082
INFINITE,5,19.768514,0.097068,19.671446,23.674304,0.116373,0.713877,1.197403
INFINITE,6,19.824090,0.101304,19.722786,23.779126,0.121658,0.716893,1.199335
INFINITE,7,19.827787,0.106307,19.721480,23.976013,0.128960,0.722638,1.209055
INFINITE,8,19.798111,0.097837,19.700274,23.844021,0.118478,0.718956,1.204169
INFINITE,9,19.748436,0.087754,19.660682,23.848287,0.106286,0.719455,1.207502
INFINITE,10,19.779117,0.090874,19.688243,23.869928,0.109931,0.720000,1.206744
INFINITE,11,19.789201,0.084441,19.704760,23.834457,0.102095,0.719162,1.204356
INFINITE,12,19.859263,0.083686,19.775577,23.888970,0.101044,0.720846,1.202913
INFINITE,13,19.886745,0.091478,19.795267,23.945927,0.110607,0.722282,1.204095
INFINITE,14,19.912886,0.091914,19.820972,23.955549,0.110993,0.722562,1.203018
INFINITE,15,19.919676,0.093148,19.826528,23.885745,0.112020,0.720416,1.199122
INFINITE,16,19.891006,0.092320,19.798685,23.876578,0.111111,0.720166,1.200416
INFINITE,17,19.871708,0.088979,19.782729,23.893616,0.107156,0.720802,1.202469
INFINITE,18,19.863308,0.085883,19.777425,23.886459,0.103428,0.720698,1.202614
INFINITE,19,19.876624,0.084378,19.792246,23.835887,0.101421,0.719226,1.199300
INFINITE,20,19.859486,0.081806,19.777680,23.799767,0.098299,0.718226,1.198498
INFINITE,21,19.882346,0.081823,19.800523,23.806035,0.098221,0.718419,1.197455
INFINITE,22,19.894974,0.085929,19.809045,23.837325,0.103264,0.719214,1.198252
INFINITE,23,19.908994,0.088876,19.820118,23.876491,0.106953,0.720289,1.199354
INFINITE,24,19.917711,0.092219,19.825492,23.891086,0.110981,0.720609,1.199557
INFINITE,25,19.906879,0.089324,19.817555,23.892887,0.107508,0.720769,1.200307
INFINITE,26,19.892696,0.092633,19.800063,23.877830,0.111486,0.720192,1.200405
INFINITE,27,19.910206,0.092768,19.817438,23.903019,0.111657,0.720950,1.200607
INFINITE,28,19.910338,0.094030,19.816308,23.917509,0.113254,0.721341,1.201324
INFINITE,29,19.928266,0.098478,19.829788,23.965706,0.118878,0.722631,1.202627
INFINITE,30,19.932230,0.098324,19.833907,23.964098,0.118648,0.722589,1.202308
INFINITE,31,19.932055,0.096345,19.835710,23.953469,0.116236,0.722340,1.201784
INFINITE,32,19.909313,0.096207,19.813105,23.909513,0.115977,0.721016,1.200918
INFINITE,33,19.910465,0.096200,19.814265,23.907992,0.115941,0.720971,1.200772
INFINITE,34,19.936688,0.104314,19.832374,23.951074,0.125878,0.721976,1.201330
INFINITE,35,19.950997,0.103755,19.847242,23.955587,0.125139,0.722135,1.200710
INFINITE,36,19.966272,0.104259,19.862013,23.966766,0.125686,0.722457,1.200361
INFINITE,37,19.962573,0.102163,19.860410,23.951983,0.123141,0.722086,1.199840
INFINITE,38,19.970844,0.104161,19.866683,23.972725,0.125619,0.722640,1.200373
INFINITE,39,19.960057,0.103717,19.856340,23.957119,0.125059,0.722184,1.200238
INFINITE,40,19.973097,0.106406,19.866691,23.971569,0.128260,0.722525,1.200179
INFINITE,41,19.994730,0.109091,19.885639,24.003335,0.131529,0.723388,1.200458
INFINITE,42,19.990724,0.108361,19.882363,23.990187,0.130606,0.723018,1.200038
INFINITE,43,19.997303,0.108968,19.888335,24.004499,0.131364,0.723428,1.200355
INFINITE,44,19.995351,0.107219,19.888132,23.990426,0.129233,0.723066,1.199767
INFINITE,45,20.017574,0.109779,19.907796,24.005116,0.132164,0.723423,1.199197
INFINITE,46,20.009116,0.108182,19.900934,23.981682,0.130214,0.722772,1.198520
INFINITE,47,20.012367,0.110478,19.901889,24.002234,0.133132,0.723306,1.199346
INFINITE,48,20.020830,0.109955,19.910875,24.014182,0.132499,0.723687,1.199435
INFINITE,49,20.024544,0.109941,19.914602,24.013752,0.132444,0.723676,1.199194
INFINITE,50,20.019609,0.110393,19.909216,24.012749,0.133006,0.723629,1.199443
INFINITE,51,20.027284,0.113897,19.913387,24.032418,0.137345,0.724093,1.199956
INFINITE,52,20.038461,0.115107,19.923354,24.055866,0.138871,0.724757,1.200443
INFINITE,53,20.043814,0.114088,19.929726,24.062074,0.137635,0.724983,1.200433
INFINITE,54,20.039291,0.113395,19.925897,24.073287,0.136854,0.725346,1.201275
INFINITE,55,20.046491,0.116649,19.929842,24.098896,0.140994,0.725997,1.202105
INFINITE,56,20.051728,0.118436,19.933291,24.106998,0.143149,0.726177,1.202195
INFINITE,57,20.062397,0.120628,19.941769,24.123388,0.145811,0.726593,1.202368
INFINITE,58,20.068391,0.119788,19.948602,24.118002,0.144745,0.726462,1.201752
INFINITE,59,20.067923,0.119992,19.947931,24.112249,0.144943,0.726282,1.201493
INFINITE,60,20.055663,0.118120,19.937543,24.089398,0.142677,0.725658,1.201074
INFINITE,61,20.045526,0.116915,19.928611,24.062834,0.141183,0.724899,1.200335
INFINITE,62,20.041042,0.115858,19.925184,24.061684,0.139912,0.724902,1.200550
INFINITE,63,20.027032,0.114625,19.912406,24.039437,0.138408,0.724274,1.200268
INFINITE,64,20.030751,0.113280,19.917471,24.038033,0.136772,0.724281,1.199980
INFINITE,65,20.040240,0.114687,19.925553,24.047832,0.138432,0.724527,1.199904
INFINITE,66,20.034489,0.114433,19.920056,24.047974,0.138150,0.724540,1.200263
