SimulationType,Batch,E[Ts]_cum,E[Tq]_cum,E[S]_cum,E[N]_cum,E[Nq]_cum,rho_cum,lambda_cum
INFINITE,0,17.309590,0.013369,17.296221,5.424894,0.004190,0.492791,0.313404
INFINITE,1,17.847594,0.080426,17.767168,6.777687,0.034705,0.612998,0.377812
INFINITE,2,17.141525,0.132964,17.008561,7.022656,0.061034,0.632875,0.411080
INFINITE,3,16.549742,0.099723,16.450020,6.518814,0.045775,0.588458,0.393039
INFINITE,4,17.401890,0.130376,17.271514,7.043789,0.058852,0.634994,0.402307
INFINITE,5,17.671248,0.111193,17.560055,7.044612,0.049987,0.635875,0.397028
INFINITE,6,18.400944,0.117672,18.283272,7.135627,0.050388,0.644113,0.388485
INFINITE,7,18.478114,0.171840,18.306273,7.311811,0.075036,0.657889,0.396088
INFINITE,8,18.761971,0.214763,18.547208,7.502754,0.093325,0.673584,0.399783
INFINITE,9,18.793891,0.193286,18.600605,7.502515,0.083992,0.674411,0.399112
INFINITE,10,19.290185,0.435667,18.854518,7.851340,0.197898,0.695767,0.405334
INFINITE,11,19.196399,0.534784,18.661615,7.927930,0.246792,0.698285,0.411792
INFINITE,12,19.021256,0.504672,18.516584,7.885773,0.232617,0.695741,0.413668
INFINITE,13,19.132207,0.482506,18.649701,7.793508,0.220451,0.688460,0.407012
INFINITE,14,19.271470,0.531988,18.739482,7.841484,0.238508,0.691180,0.406622
INFINITE,15,19.192908,0.498738,18.694169,7.707818,0.223602,0.680383,0.400994
INFINITE,16,19.224162,0.474418,18.749743,7.730267,0.212506,0.683433,0.401531
INFINITE,17,19.158172,0.453294,18.704878,7.727743,0.202930,0.684074,0.402895
INFINITE,18,19.032321,0.432049,18.600272,7.706701,0.193391,0.683028,0.404692
INFINITE,19,19.141187,0.475931,18.665257,7.755789,0.210547,0.685931,0.404940
INFINITE,20,19.133236,0.454679,18.678557,7.746495,0.201083,0.685947,0.404632
INFINITE,21,19.061611,0.434012,18.627599,7.691393,0.191943,0.681768,0.403156
INFINITE,22,19.025618,0.471902,18.553715,7.702660,0.208347,0.681301,0.404585
INFINITE,23,19.165039,0.485412,18.679626,7.794271,0.214348,0.689084,0.406169
INFINITE,24,19.143708,0.502742,18.640966,7.816225,0.222229,0.690363,0.407833
INFINITE,25,18.963547,0.483406,18.480141,7.741938,0.213681,0.684387,0.407801
INFINITE,26,19.032264,0.467727,18.564537,7.759903,0.206647,0.686660,0.407333
INFINITE,27,18.997689,0.451023,18.546666,7.720634,0.199266,0.683761,0.405953
INFINITE,28,19.410771,0.618589,18.792182,7.860625,0.262034,0.690781,0.405069
INFINITE,29,19.355922,0.607611,18.748311,7.830723,0.257079,0.688513,0.404632
INFINITE,30,19.709557,0.684598,19.024959,7.876800,0.278283,0.690774,0.401431
INFINITE,31,19.676962,0.673428,19.003535,7.867147,0.273731,0.690311,0.401556
INFINITE,32,19.700844,0.653054,19.047791,7.861965,0.265449,0.690592,0.400783
INFINITE,33,19.732763,0.640113,19.092651,7.869188,0.260086,0.691737,0.400467
INFINITE,34,19.841567,0.715052,19.126515,7.995902,0.301383,0.699502,0.403959
INFINITE,35,19.846475,0.760999,19.085475,8.015550,0.321623,0.699448,0.404815
INFINITE,36,19.832196,0.740432,19.091764,7.963599,0.312930,0.695515,0.402399
INFINITE,37,19.792560,0.720947,19.071613,7.929267,0.304695,0.693143,0.401371
INFINITE,38,19.880906,0.738782,19.142123,7.942581,0.310088,0.693863,0.400402
INFINITE,39,19.953318,0.849469,19.103849,8.067438,0.375692,0.699250,0.404591
INFINITE,40,20.028515,0.848735,19.179780,8.078532,0.373923,0.700419,0.403746
INFINITE,41,20.138682,0.843112,19.295570,8.096375,0.370242,0.702376,0.402658
INFINITE,42,20.104596,0.823505,19.281091,8.069610,0.361632,0.700725,0.401944
INFINITE,43,20.053952,0.806233,19.247720,8.025836,0.353909,0.697448,0.400620
INFINITE,44,20.135545,0.842436,19.293109,8.061520,0.368015,0.699410,0.400738
INFINITE,45,20.306459,0.915889,19.390569,8.152395,0.400139,0.704751,0.401532
INFINITE,46,20.332380,0.935695,19.396686,8.178836,0.408776,0.706369,0.402276
INFINITE,47,20.279636,0.923828,19.355808,8.184091,0.403872,0.707293,0.403762
INFINITE,48,20.311139,0.918229,19.392911,8.180062,0.400480,0.707235,0.402991
INFINITE,49,20.257663,0.900722,19.356941,8.139138,0.392769,0.704215,0.401887
INFINITE,50,20.215068,0.887044,19.328024,8.151775,0.387002,0.705888,0.403530
INFINITE,51,20.199747,0.876733,19.323013,8.154709,0.382446,0.706569,0.403994
INFINITE,52,20.204661,0.860191,19.344469,8.152981,0.375230,0.707068,0.403807
INFINITE,53,20.212207,0.852340,19.359867,8.148328,0.371378,0.706995,0.403428
INFINITE,54,20.256147,0.857550,19.398596,8.176800,0.373515,0.709390,0.403898
INFINITE,55,20.258604,0.852270,19.406334,8.174754,0.370811,0.709449,0.403745
INFINITE,56,20.306124,0.858495,19.447629,8.187469,0.372512,0.710451,0.403460
INFINITE,57,20.460098,0.936993,19.523104,8.237097,0.401403,0.712336,0.403029
INFINITE,58,20.595518,1.034027,19.561491,8.321300,0.447009,0.715845,0.404065
INFINITE,59,20.602692,1.028095,19.574598,8.322073,0.444056,0.716183,0.403964
INFINITE,60,20.519380,1.011241,19.508140,8.283536,0.436777,0.713342,0.403649
INFINITE,61,20.563363,1.001234,19.562129,8.268876,0.431732,0.712468,0.402255
INFINITE,62,20.600410,0.998283,19.602128,8.285993,0.430162,0.714167,0.402350
INFINITE,63,20.679415,1.003939,19.675475,8.303164,0.431215,0.715632,0.401778
INFINITE,64,20.653151,0.996650,19.656501,8.304217,0.428180,0.716003,0.402386
INFINITE,65,20.753043,1.041997,19.711046,8.364484,0.448941,0.719595,0.403119
INFINITE,66,20.726033,1.028389,19.697644,8.354036,0.443027,0.719183,0.403141
INFINITE,67,20.732534,1.018098,19.714436,8.342516,0.438240,0.718571,0.402472
INFINITE,68,20.691995,1.004279,19.687716,8.323976,0.432257,0.717429,0.402346
INFINITE,69,20.827129,1.090902,19.736227,8.395504,0.470724,0.720434,0.402915
INFINITE,70,20.764646,1.083494,19.681152,8.380300,0.467646,0.719332,0.403527
INFINITE,71,20.737302,1.068569,19.668733,8.376506,0.461204,0.719573,0.403913
INFINITE,72,20.767021,1.070343,19.696678,8.376180,0.460871,0.719574,0.403375
INFINITE,73,20.811315,1.078112,19.733203,8.397541,0.463849,0.721245,0.403520
INFINITE,74,20.752775,1.063737,19.689038,8.376778,0.457665,0.719919,0.403694
INFINITE,75,20.783042,1.053276,19.729766,8.374025,0.452896,0.720103,0.403043
INFINITE,76,20.779752,1.055109,19.724643,8.373828,0.453329,0.720045,0.403097
INFINITE,77,20.870081,1.085975,19.784106,8.399158,0.464029,0.721375,0.402698
INFINITE,78,20.955442,1.122835,19.832607,8.430662,0.478110,0.722959,0.402591
INFINITE,79,21.074806,1.252918,19.821888,8.543640,0.554665,0.726270,0.404717
INFINITE,80,21.122224,1.272200,19.850024,8.566903,0.562361,0.727686,0.404888
INFINITE,81,21.126457,1.283943,19.842515,8.583384,0.568095,0.728663,0.405584
INFINITE,82,21.132323,1.289506,19.842817,8.596732,0.570682,0.729641,0.406100
INFINITE,83,21.076575,1.274155,19.802420,8.570905,0.563888,0.727911,0.405917
INFINITE,84,21.141726,1.330341,19.811385,8.609937,0.589048,0.729172,0.406396
INFINITE,85,21.142745,1.315602,19.827143,8.597813,0.582459,0.728669,0.405816
INFINITE,86,21.088162,1.300616,19.787545,8.578170,0.575821,0.727486,0.405981
INFINITE,87,21.038109,1.285837,19.752272,8.545892,0.569278,0.725147,0.405276
INFINITE,88,21.010573,1.271929,19.738644,8.517474,0.563056,0.723129,0.404359
INFINITE,89,20.992120,1.257796,19.734324,8.490243,0.556800,0.721222,0.403350
INFINITE,90,20.999572,1.244092,19.755480,8.490236,0.550728,0.721773,0.403223
INFINITE,91,20.994428,1.246364,19.748065,8.485643,0.550949,0.721336,0.403112
INFINITE,92,20.981421,1.235035,19.746386,8.476996,0.545830,0.721015,0.402952
INFINITE,93,20.944976,1.221896,19.723080,8.462993,0.540023,0.720270,0.403005
INFINITE,94,21.056659,1.264743,19.791916,8.463217,0.549317,0.719445,0.401593
INFINITE,95,21.043286,1.273671,19.769615,8.473867,0.554199,0.719970,0.402407
INFINITE,96,21.030923,1.260541,19.770382,8.450285,0.548485,0.718345,0.401472
INFINITE,97,21.054365,1.258286,19.796080,8.453699,0.546883,0.718801,0.401218
INFINITE,98,21.018672,1.248365,19.770307,8.432194,0.542366,0.717257,0.400812
INFINITE,99,21.017440,1.241273,19.776167,8.435493,0.539203,0.717845,0.400997
INFINITE,100,21.000044,1.228983,19.771061,8.412479,0.533865,0.716238,0.400168
INFINITE,101,21.022630,1.234415,19.788216,8.428693,0.536181,0.717501,0.400480
INFINITE,102,21.021559,1.222430,19.799129,8.416395,0.530976,0.716856,0.399917
INFINITE,103,20.995652,1.210676,19.784976,8.405272,0.525870,0.716309,0.399880
INFINITE,104,21.111155,1.232954,19.878201,8.431640,0.532267,0.718125,0.399284
INFINITE,105,21.086774,1.221322,19.865452,8.420115,0.527245,0.717534,0.399189
INFINITE,106,21.023975,1.209908,19.814067,8.395894,0.522318,0.715780,0.399250
INFINITE,107,20.995494,1.199448,19.796047,8.384556,0.517778,0.715162,0.399252
INFINITE,108,20.985282,1.190033,19.795249,8.388527,0.513733,0.715890,0.399658
INFINITE,109,20.993417,1.182587,19.810831,8.390087,0.510382,0.716337,0.399582
INFINITE,110,21.018668,1.173976,19.844692,8.395959,0.506560,0.717218,0.399405
INFINITE,111,20.993146,1.167263,19.825882,8.394068,0.503736,0.717303,0.399863
INFINITE,112,20.967608,1.157503,19.810106,8.380199,0.499493,0.716428,0.399660
INFINITE,113,21.011941,1.170139,19.841802,8.402677,0.504695,0.717998,0.399843
INFINITE,114,21.025235,1.186718,19.838517,8.428622,0.513821,0.719527,0.400759
INFINITE,115,20.993930,1.177637,19.816293,8.413959,0.509836,0.718557,0.400639
INFINITE,116,20.971708,1.168483,19.803226,8.406732,0.505853,0.718262,0.400731
INFINITE,117,20.941075,1.158580,19.782495,8.388405,0.501567,0.716985,0.400384
INFINITE,118,20.905980,1.151011,19.754969,8.388093,0.498431,0.717242,0.401205
INFINITE,119,20.881793,1.141710,19.740083,8.369592,0.494377,0.715929,0.400717
INFINITE,120,20.867151,1.133168,19.733984,8.353838,0.490593,0.714840,0.400200
INFINITE,121,20.865442,1.125648,19.739794,8.344620,0.487191,0.714312,0.399788
INFINITE,122,20.864974,1.120008,19.744966,8.354940,0.484853,0.715463,0.400295
INFINITE,123,20.921344,1.151932,19.769412,8.377826,0.497400,0.716402,0.400307
INFINITE,124,20.947870,1.174210,19.773660,8.402149,0.508257,0.717627,0.400873
INFINITE,125,21.003666,1.167603,19.836063,8.407519,0.505103,0.718401,0.400267
INFINITE,126,20.993641,1.158989,19.834652,8.390508,0.501310,0.717200,0.399608
INFINITE,127,20.951483,1.149934,19.801549,8.367781,0.497393,0.715490,0.399232
INFINITE,128,20.957434,1.146048,19.811386,8.359540,0.495228,0.714937,0.398744
INFINITE,129,20.974109,1.153730,19.820379,8.370767,0.498424,0.715668,0.398943
INFINITE,130,20.958252,1.145957,19.812295,8.367130,0.495051,0.715644,0.399087
INFINITE,131,20.959660,1.139557,19.820104,8.363140,0.492147,0.715545,0.398873
INFINITE,132,20.948634,1.137649,19.810985,8.365186,0.491397,0.715799,0.399204
INFINITE,133,20.915199,1.129159,19.786039,8.351324,0.487730,0.714872,0.399174
INFINITE,134,20.919661,1.130468,19.789193,8.369573,0.488979,0.716418,0.399941
INFINITE,135,20.937999,1.146770,19.791230,8.387562,0.496754,0.717346,0.400396
INFINITE,136,20.971054,1.180606,19.790449,8.412261,0.512637,0.718148,0.400848
INFINITE,137,20.942506,1.172598,19.769908,8.404445,0.509158,0.717753,0.401063
INFINITE,138,20.931337,1.172122,19.759214,8.409975,0.509261,0.718247,0.401581
INFINITE,139,20.930963,1.163837,19.767126,8.394760,0.505650,0.717192,0.400861
INFINITE,140,20.903791,1.155623,19.748167,8.390401,0.502082,0.717120,0.401245
