SimulationType,Batch,ETs,ETq,ES,EN,ENq,rho,lambda
INFINITE,0,0,0,0,0,0,0,0
INFINITE,1,20.015500,0.749617,19.265883,13.590329,0.374699,0.713618,0.676861
INFINITE,2,20.327231,0.869862,19.457369,13.482132,0.400385,0.713086,0.668865
INFINITE,3,20.457862,1.007972,19.449890,13.477292,0.453958,0.715147,0.667048
INFINITE,4,20.580820,0.966022,19.614798,13.528008,0.426673,0.718143,0.667365
INFINITE,5,20.593445,0.949674,19.643771,13.551182,0.412336,0.718523,0.668584
INFINITE,6,20.663478,0.962458,19.701019,13.583293,0.417116,0.718997,0.668079
INFINITE,7,21.071315,1.267160,19.804156,13.803263,0.538843,0.724098,0.670978
INFINITE,8,21.124942,1.295746,19.829196,13.762523,0.545594,0.722235,0.668329
INFINITE,9,21.031810,1.265056,19.766754,13.722330,0.529369,0.719724,0.668900
INFINITE,10,20.986672,1.227114,19.759558,13.694104,0.514162,0.718177,0.668007
INFINITE,11,21.031108,1.231468,19.799640,13.716275,0.515768,0.720604,0.667985
INFINITE,12,20.945803,1.174353,19.771450,13.699802,0.492973,0.720057,0.667965
INFINITE,13,20.928393,1.147861,19.780532,13.699004,0.483775,0.719863,0.667918
INFINITE,14,20.937559,1.135061,19.802498,13.720340,0.480458,0.721917,0.668361
INFINITE,15,21.028581,1.182284,19.846297,13.737885,0.500182,0.723150,0.667286
INFINITE,16,20.994557,1.158809,19.835748,13.724455,0.490545,0.722972,0.667686
INFINITE,17,20.996460,1.137961,19.858499,13.729951,0.481111,0.723905,0.668209
INFINITE,18,20.954285,1.096470,19.857815,13.702181,0.463312,0.723068,0.667796
INFINITE,19,20.905765,1.063794,19.841970,13.660770,0.449813,0.721512,0.666503
INFINITE,20,20.897445,1.048227,19.849219,13.648008,0.442935,0.721644,0.666243
INFINITE,21,20.942692,1.091074,19.851618,13.675242,0.462807,0.722185,0.666248
INFINITE,22,20.904418,1.069826,19.834592,13.668589,0.455263,0.721736,0.666531
INFINITE,23,20.953285,1.110232,19.843053,13.705529,0.473028,0.722762,0.667170
INFINITE,24,20.913084,1.084639,19.828445,13.684469,0.463213,0.721526,0.666814
INFINITE,25,20.917067,1.086030,19.831037,13.693261,0.463234,0.722217,0.667316
INFINITE,26,20.902189,1.075932,19.826257,13.680940,0.459767,0.721797,0.667202
INFINITE,27,20.883499,1.058858,19.824642,13.677123,0.452715,0.721585,0.667166
INFINITE,28,20.868550,1.040229,19.828321,13.666932,0.445175,0.721084,0.666976
INFINITE,29,20.878989,1.038653,19.840337,13.683538,0.445546,0.721700,0.667374
INFINITE,30,20.876254,1.031857,19.844396,13.680401,0.442601,0.721710,0.667227
INFINITE,31,20.898522,1.052012,19.846510,13.686284,0.450337,0.721708,0.667066
INFINITE,32,20.873308,1.043350,19.829958,13.653387,0.446237,0.719973,0.666221
INFINITE,33,20.878539,1.042875,19.835664,13.649605,0.445525,0.719723,0.665940
INFINITE,34,20.893892,1.051711,19.842181,13.669114,0.451845,0.720253,0.666216
INFINITE,35,20.890353,1.042395,19.847958,13.669037,0.447907,0.720498,0.666100
INFINITE,36,20.894054,1.040824,19.853229,13.677524,0.447660,0.721077,0.666239
INFINITE,37,20.929517,1.062167,19.867350,13.679506,0.454527,0.720880,0.665744
INFINITE,38,20.946326,1.064733,19.881593,13.687996,0.455711,0.721175,0.665746
INFINITE,39,20.935351,1.051827,19.883525,13.674263,0.450154,0.720736,0.665438
INFINITE,40,20.988789,1.088850,19.899939,13.694635,0.464689,0.721039,0.665277
INFINITE,41,20.991234,1.087594,19.903640,13.709358,0.465277,0.721749,0.665657
INFINITE,42,20.979999,1.080033,19.899967,13.701040,0.461977,0.721539,0.665522
INFINITE,43,20.964316,1.066135,19.898181,13.693549,0.456418,0.721090,0.665374
INFINITE,44,20.980142,1.078053,19.902089,13.695438,0.460575,0.721125,0.665186
INFINITE,45,20.974177,1.072480,19.901698,13.697022,0.459125,0.721163,0.665091
INFINITE,46,20.964986,1.062312,19.902674,13.688018,0.454632,0.721187,0.664933
INFINITE,47,20.969282,1.068024,19.901258,13.700070,0.457854,0.721634,0.665395
INFINITE,48,20.961451,1.060633,19.900818,13.702618,0.454856,0.721884,0.665563
INFINITE,49,20.973237,1.066927,19.906310,13.711573,0.457852,0.722433,0.665695
INFINITE,50,20.977874,1.072405,19.905469,13.713476,0.460210,0.722423,0.665761
INFINITE,51,20.969983,1.066751,19.903232,13.719718,0.459089,0.722783,0.666119
INFINITE,52,20.965794,1.059721,19.906073,13.727205,0.456714,0.723237,0.666420
INFINITE,53,20.989370,1.065953,19.923418,13.737212,0.458827,0.723804,0.666385
INFINITE,54,20.979909,1.058829,19.921080,13.737174,0.455750,0.723838,0.666649
INFINITE,55,20.986302,1.061820,19.924482,13.747416,0.457941,0.724136,0.666924
INFINITE,56,20.972969,1.057019,19.915951,13.745495,0.456522,0.723970,0.667026
INFINITE,57,20.969159,1.050499,19.918661,13.743489,0.454298,0.723713,0.666866
INFINITE,58,20.964470,1.042961,19.921509,13.737699,0.450946,0.723578,0.666599
INFINITE,59,20.980514,1.052506,19.928007,13.745912,0.455083,0.724069,0.666676
INFINITE,60,20.974867,1.050352,19.924515,13.735929,0.453610,0.723711,0.666457
INFINITE,61,20.957408,1.042968,19.914440,13.722749,0.450343,0.723317,0.666277
INFINITE,62,20.963236,1.042059,19.921177,13.722253,0.449453,0.723350,0.666213
INFINITE,63,20.951362,1.036371,19.914992,13.710129,0.446738,0.722914,0.666031
INFINITE,64,20.941885,1.031335,19.910550,13.705805,0.444349,0.722733,0.665957
INFINITE,65,20.952261,1.038619,19.913642,13.712113,0.447594,0.722847,0.665941
INFINITE,66,20.954179,1.040132,19.914047,13.714953,0.448203,0.723041,0.666120
INFINITE,67,20.966782,1.042318,19.924464,13.716559,0.449151,0.723129,0.665870
INFINITE,68,20.961789,1.041661,19.920128,13.719368,0.449584,0.723094,0.666057
INFINITE,69,20.953970,1.037145,19.916825,13.717015,0.447694,0.723075,0.666115
INFINITE,70,20.962276,1.043956,19.918319,13.721075,0.450135,0.723234,0.666173
INFINITE,71,20.959139,1.040202,19.918937,13.719960,0.448308,0.723250,0.666145
INFINITE,72,20.954002,1.042686,19.911316,13.715508,0.449217,0.723136,0.666165
INFINITE,73,20.953395,1.042092,19.911304,13.720206,0.450822,0.723264,0.666281
INFINITE,74,20.956860,1.039068,19.917792,13.720432,0.450174,0.723363,0.666118
INFINITE,75,20.958323,1.039024,19.919299,13.722354,0.450019,0.723442,0.666179
INFINITE,76,20.963028,1.040255,19.922773,13.722461,0.450200,0.723628,0.666211
INFINITE,77,20.957740,1.037676,19.920064,13.722886,0.449135,0.723609,0.666290
INFINITE,78,20.972875,1.045903,19.926972,13.729889,0.452213,0.723887,0.666327
INFINITE,79,20.966603,1.039876,19.926727,13.729515,0.449751,0.723944,0.666414
INFINITE,80,20.965405,1.039223,19.926182,13.727577,0.449301,0.723904,0.666453
INFINITE,81,20.969141,1.043639,19.925501,13.734178,0.451729,0.724071,0.666594
INFINITE,82,20.963248,1.039826,19.923422,13.734608,0.450080,0.724097,0.666792
INFINITE,83,20.967722,1.040472,19.927251,13.736748,0.450305,0.724193,0.666808
INFINITE,84,20.956291,1.034442,19.921849,13.727309,0.447650,0.723709,0.666558
INFINITE,85,20.951964,1.030433,19.921531,13.725163,0.445849,0.723633,0.666452
INFINITE,86,20.946529,1.028209,19.918320,13.718391,0.444685,0.723480,0.666317
INFINITE,87,20.960166,1.033051,19.927115,13.724200,0.446493,0.723803,0.666304
INFINITE,88,20.975173,1.039263,19.935910,13.731274,0.448997,0.724269,0.666347
INFINITE,89,21.009523,1.068977,19.940547,13.747231,0.461333,0.724563,0.666448
INFINITE,90,20.998761,1.061631,19.937129,13.737960,0.457997,0.724109,0.666225
INFINITE,91,21.000842,1.062661,19.938182,13.737975,0.458174,0.724074,0.666111
INFINITE,92,21.003870,1.066597,19.937274,13.742740,0.459867,0.724255,0.666271
INFINITE,93,21.011176,1.071620,19.939556,13.748324,0.461904,0.724430,0.666396
INFINITE,94,21.021199,1.076150,19.945048,13.751985,0.463478,0.724668,0.666416
