SimulationType,Batch,E[Ts]_cum,E[Tq]_cum,E[S]_cum,E[N]_cum,E[Nq]_cum,rho_cum,lambda_cum
INFINITE,0,0,0,0,0,0,0,0
INFINITE,1,19.467603,0.000000,19.467603,14.225253,0.000000,0.431068,0.730714
INFINITE,2,19.415907,0.000000,19.415907,14.022720,0.000000,0.424931,0.722206
INFINITE,3,19.465116,0.000000,19.465116,13.974067,0.000000,0.423457,0.717910
INFINITE,4,19.244138,0.000000,19.244138,13.810048,0.000000,0.418486,0.717619
INFINITE,5,19.407115,0.000000,19.407115,13.976383,0.000000,0.423527,0.720081
INFINITE,6,19.354385,0.000000,19.354385,14.049137,0.000000,0.425731,0.725896
INFINITE,7,19.386422,0.000000,19.386422,14.076193,0.000000,0.426551,0.726089
INFINITE,8,19.389810,0.000000,19.389810,14.032042,0.000000,0.425213,0.723688
INFINITE,9,19.460172,0.000000,19.460172,14.066203,0.000000,0.426249,0.722850
INFINITE,10,19.420193,0.000000,19.420193,14.118784,0.000000,0.427842,0.727122
INFINITE,11,19.461662,0.000000,19.461662,14.084189,0.000000,0.426794,0.723855
INFINITE,12,19.478226,0.000000,19.478226,14.124440,0.000000,0.428013,0.725279
INFINITE,13,19.526803,0.000000,19.526803,14.160084,0.000000,0.429093,0.725289
INFINITE,14,19.534531,0.000000,19.534531,14.140505,0.000000,0.428500,0.723997
INFINITE,15,19.604113,0.000000,19.604113,14.132753,0.000000,0.428265,0.721164
INFINITE,16,19.587203,0.000000,19.587203,14.087578,0.000000,0.426896,0.719442
INFINITE,17,19.673411,0.000000,19.673411,14.178262,0.000000,0.429644,0.720792
INFINITE,18,19.728379,0.000000,19.728379,14.209498,0.000000,0.430591,0.720380
INFINITE,19,19.722843,0.000000,19.722843,14.166301,0.000000,0.429282,0.718376
INFINITE,20,19.692179,0.000000,19.692179,14.150222,0.000000,0.428795,0.718681
INFINITE,21,19.673683,0.000000,19.673683,14.131894,0.000000,0.428239,0.718415
INFINITE,22,19.598844,0.000000,19.598844,14.066414,0.000000,0.426255,0.717760
INFINITE,23,19.646933,0.000000,19.646933,14.099980,0.000000,0.427272,0.717713
INFINITE,24,19.682170,0.000000,19.682170,14.125788,0.000000,0.428054,0.717736
INFINITE,25,19.688755,0.000000,19.688755,14.129841,0.000000,0.428177,0.717700
INFINITE,26,19.703023,0.000000,19.703023,14.149192,0.000000,0.428763,0.718153
INFINITE,27,19.705471,0.000000,19.705471,14.156663,0.000000,0.428990,0.718441
INFINITE,28,19.692841,0.000000,19.692841,14.151846,0.000000,0.428844,0.718660
INFINITE,29,19.712054,0.000000,19.712054,14.181417,0.000000,0.429740,0.719437
INFINITE,30,19.703019,0.000000,19.703019,14.177319,0.000000,0.429616,0.719561
INFINITE,31,19.701073,0.000000,19.701073,14.185174,0.000000,0.429854,0.720031
INFINITE,32,19.697870,0.000000,19.697870,14.198269,0.000000,0.430251,0.720817
INFINITE,33,19.742393,0.000000,19.742393,14.239592,0.000000,0.431503,0.721253
INFINITE,34,19.754342,0.000000,19.754342,14.233937,0.000000,0.431331,0.720545
INFINITE,35,19.770160,0.000000,19.770160,14.261602,0.000000,0.432170,0.721346
INFINITE,36,19.740162,0.000000,19.740162,14.230932,0.000000,0.431240,0.720863
INFINITE,37,19.773522,0.000000,19.773522,14.253407,0.000000,0.431921,0.720790
INFINITE,38,19.762618,0.000000,19.762618,14.236482,0.000000,0.431409,0.720323
INFINITE,39,19.759925,0.000000,19.759925,14.242943,0.000000,0.431604,0.720751
INFINITE,40,19.781835,0.000000,19.781835,14.259708,0.000000,0.432112,0.720799
INFINITE,41,19.790342,0.000000,19.790342,14.265411,0.000000,0.432285,0.720779
INFINITE,42,19.800235,0.000000,19.800235,14.272421,0.000000,0.432498,0.720775
INFINITE,43,19.801324,0.000000,19.801324,14.265389,0.000000,0.432285,0.720382
INFINITE,44,19.791775,0.000000,19.791775,14.264887,0.000000,0.432269,0.720712
INFINITE,45,19.798713,0.000000,19.798713,14.258503,0.000000,0.432076,0.720146
INFINITE,46,19.787955,0.000000,19.787955,14.239826,0.000000,0.431510,0.719581
INFINITE,47,19.798476,0.000000,19.798476,14.251611,0.000000,0.431867,0.719789
INFINITE,48,19.802127,0.000000,19.802127,14.253596,0.000000,0.431927,0.719758
INFINITE,49,19.817557,0.000000,19.817557,14.262853,0.000000,0.432208,0.719669
INFINITE,50,19.808438,0.000000,19.808438,14.260805,0.000000,0.432146,0.719903
INFINITE,51,19.809837,0.000000,19.809837,14.243722,0.000000,0.431628,0.718994
INFINITE,52,19.814264,0.000000,19.814264,14.242481,0.000000,0.431590,0.718773
INFINITE,53,19.805549,0.000000,19.805549,14.232173,0.000000,0.431278,0.718565
INFINITE,54,19.810918,0.000000,19.810918,14.234147,0.000000,0.431338,0.718472
INFINITE,55,19.801909,0.000000,19.801909,14.230169,0.000000,0.431217,0.718601
INFINITE,56,19.808634,0.000000,19.808634,14.227704,0.000000,0.431143,0.718240
INFINITE,57,19.809504,0.000000,19.809504,14.223418,0.000000,0.431013,0.717993
INFINITE,58,19.801855,0.000000,19.801855,14.207905,0.000000,0.430543,0.717476
INFINITE,59,19.801676,0.000000,19.801676,14.215680,0.000000,0.430778,0.717876
INFINITE,60,19.805458,0.000000,19.805458,14.224043,0.000000,0.431032,0.718158
INFINITE,61,19.785138,0.000000,19.785138,14.214269,0.000000,0.430735,0.718418
INFINITE,62,19.809795,0.000000,19.809795,14.220543,0.000000,0.430926,0.717882
INFINITE,63,19.812186,0.000000,19.812186,14.224853,0.000000,0.431056,0.718011
INFINITE,64,19.816771,0.000000,19.816771,14.215509,0.000000,0.430773,0.717382
