SimulationType,Batch,ETs,ETq,ES,EN,ENq,rho,lambda
INFINITE,0,0,0,0,0,0,0,0
INFINITE,1,21.052877,0.545828,20.507048,10.850676,0.387023,0.555562,0.504013
INFINITE,2,21.057440,0.534748,20.522692,10.811657,0.385886,0.551546,0.500560
INFINITE,3,21.050273,0.531019,20.519254,10.818307,0.388267,0.550643,0.500231
INFINITE,4,21.217879,0.541073,20.676805,10.777773,0.384372,0.551263,0.496665
INFINITE,5,21.329592,0.584337,20.745256,10.858111,0.399203,0.553990,0.497856
INFINITE,6,21.355641,0.573787,20.781853,10.916564,0.399500,0.556692,0.500282
INFINITE,7,21.315074,0.568215,20.746859,10.901705,0.398773,0.554805,0.499747
INFINITE,8,21.278965,0.562387,20.716578,10.893606,0.397699,0.554654,0.499727
INFINITE,9,21.333569,0.565276,20.768293,10.928723,0.399119,0.556513,0.500163
INFINITE,10,21.302400,0.559174,20.743226,10.940529,0.397077,0.556878,0.501473
INFINITE,11,21.358893,0.559001,20.799892,10.928469,0.395826,0.556855,0.499844
INFINITE,12,21.370233,0.559690,20.810543,10.948471,0.396398,0.558090,0.500748
INFINITE,13,21.413003,0.573019,20.839985,10.975446,0.401262,0.559640,0.501307
INFINITE,14,21.382001,0.569767,20.812233,10.959584,0.400226,0.558711,0.501129
INFINITE,15,21.388353,0.570124,20.818229,10.940623,0.398528,0.558193,0.500019
INFINITE,16,21.363335,0.570086,20.793249,10.925739,0.398830,0.557610,0.499731
INFINITE,17,21.375374,0.570028,20.805346,10.949644,0.399596,0.558222,0.500203
INFINITE,18,21.378909,0.569002,20.809907,10.951003,0.398685,0.557982,0.499886
INFINITE,19,21.368514,0.567379,20.801134,10.940748,0.398435,0.557798,0.499569
INFINITE,20,21.395947,0.565315,20.830632,10.951247,0.398136,0.558922,0.499938
INFINITE,21,21.354322,0.563238,20.791084,10.936421,0.397733,0.557754,0.499807
INFINITE,22,21.323437,0.561278,20.762158,10.919129,0.397314,0.556972,0.499648
INFINITE,23,21.343959,0.558896,20.785063,10.930728,0.396052,0.557358,0.499511
INFINITE,24,21.343424,0.565436,20.777988,10.943017,0.398682,0.557911,0.499946
INFINITE,25,21.351057,0.563962,20.787095,10.952126,0.398801,0.558386,0.500199
INFINITE,26,21.382323,0.563013,20.819310,10.968143,0.398193,0.559424,0.500399
