Seed,Center,Time,ETs,ENs,ETq,ENq,ES,ENS,Rho
1,0,100.00,26.43370,30.92743,4.29202,5.02166,22.14168,25.90576,0.78502
1,0,200.00,25.34389,34.84784,4.07495,5.60306,21.26893,29.24478,0.88621
1,0,300.00,23.50554,33.45622,2.86989,4.08482,20.63564,29.37140,0.89004
1,0,400.00,21.83617,32.42671,2.15346,3.19789,19.68271,29.22883,0.88572
1,0,500.00,20.92340,31.80357,1.75331,2.66503,19.17009,29.13854,0.88299
1,0,600.00,21.15753,31.63050,1.61406,2.41302,19.54347,29.21749,0.88538
1,0,700.00,20.82753,31.95538,1.54805,2.37515,19.27948,29.58023,0.89637
1,0,800.00,20.81986,31.41196,1.37779,2.07874,19.44207,29.33322,0.88889
1,0,900.00,21.21258,31.81888,1.52285,2.28428,19.68973,29.53460,0.89499
1,0,1000.00,23.65955,35.18174,3.56264,5.29765,20.09691,29.88410,0.90558
2,0,100.00,21.25837,27.21071,0.93852,1.20131,20.31984,26.00940,0.78816
2,0,200.00,28.82155,38.18855,6.70945,8.89003,22.11210,29.29853,0.88783
2,0,300.00,29.49685,43.75366,8.92826,13.24358,20.56859,30.51008,0.92455
2,0,400.00,28.74576,44.55592,8.64582,13.40102,20.09994,31.15491,0.94409
2,0,500.00,27.51060,43.30169,7.59553,11.95536,19.91507,31.34632,0.94989
2,0,600.00,26.83272,41.72487,6.80889,10.58782,20.02383,31.13706,0.94355
2,0,700.00,26.08443,40.80350,6.09782,9.53873,19.98661,31.26477,0.94742
2,0,800.00,25.41871,39.78027,5.40975,8.46626,20.00896,31.31402,0.94891
2,0,900.00,26.15159,40.44779,5.90341,9.13061,20.24818,31.31718,0.94901
2,0,1000.00,28.17428,43.61379,7.83250,12.12472,20.34178,31.48908,0.95421
3,0,100.00,19.11868,21.79530,0.00000,0.00000,19.11868,21.79530,0.66046
3,0,200.00,22.12492,28.43052,0.88553,1.13791,21.23939,27.29261,0.82705
3,0,300.00,22.10305,29.98647,1.36243,1.84837,20.74062,28.13810,0.85267
3,0,400.00,23.52084,33.98761,3.20543,4.63184,20.31541,29.35576,0.88957
3,0,500.00,22.80292,34.24998,2.85698,4.29118,19.94594,29.95880,0.90784
3,0,600.00,21.94726,33.98167,2.63259,4.07613,19.31466,29.90554,0.90623
3,0,700.00,22.73420,34.62093,3.02709,4.60983,19.70710,30.01110,0.90943
3,0,800.00,23.08057,35.54408,3.35929,5.17331,19.72128,30.37077,0.92033
3,0,900.00,24.40256,37.14611,4.25847,6.48234,20.14409,30.66378,0.92921
3,0,1000.00,25.88318,39.86010,5.82802,8.97514,20.05517,30.88496,0.93591
1,0,100.00,26.43370,30.92743,4.29202,5.02166,22.14168,25.90576,0.78502
1,0,200.00,25.34389,34.84784,4.07495,5.60306,21.26893,29.24478,0.88621
1,0,300.00,23.50554,33.45622,2.86989,4.08482,20.63564,29.37140,0.89004
1,0,400.00,21.83617,32.42671,2.15346,3.19789,19.68271,29.22883,0.88572
1,0,500.00,20.92340,31.80357,1.75331,2.66503,19.17009,29.13854,0.88299
1,0,600.00,21.15753,31.63050,1.61406,2.41302,19.54347,29.21749,0.88538
1,0,700.00,20.82753,31.95538,1.54805,2.37515,19.27948,29.58023,0.89637
1,0,800.00,20.81986,31.41196,1.37779,2.07874,19.44207,29.33322,0.88889
1,0,900.00,21.21258,31.81888,1.52285,2.28428,19.68973,29.53460,0.89499
1,0,1000.00,23.65955,35.18174,3.56264,5.29765,20.09691,29.88410,0.90558
