Seed,Center,Time,ETs,ENs,ETq,ENq,ES,ENS,Rho
1,-1,100.00,24.25592,43.41810,2.94837,5.27758,21.30755,38.14052,0.47443
1,-1,200.00,23.95571,50.06743,2.87246,6.00343,21.08325,44.06400,0.55873
1,-1,300.00,22.97628,50.93076,2.46436,5.46266,20.51192,45.46810,0.58880
1,-1,400.00,21.49011,49.69588,1.86819,4.32018,19.62192,45.37569,0.58909
1,-1,500.00,20.91375,48.81268,1.56393,3.65022,19.34981,45.16246,0.58546
1,-1,600.00,20.99544,48.39448,1.41685,3.26585,19.57858,45.12864,0.58341
1,-1,700.00,20.78596,48.63916,1.36960,3.20486,19.41637,45.43430,0.58444
1,-1,800.00,20.80139,48.02520,1.24889,2.88337,19.55250,45.14184,0.58155
1,-1,900.00,21.27111,48.78174,1.39478,3.19869,19.87633,45.58305,0.58873
1,-1,1000.00,22.97116,52.69584,2.82101,6.47140,20.15015,46.22444,0.59794
2,-1,100.00,22.16293,43.88260,1.75172,3.46841,20.41121,40.41419,0.52454
2,-1,200.00,29.07815,58.88326,6.94582,14.06528,22.13233,44.81797,0.57496
2,-1,300.00,28.39139,63.69136,7.66905,17.20423,20.72234,46.48713,0.59485
2,-1,400.00,27.09962,64.02284,7.05403,16.66514,20.04559,47.35770,0.60431
2,-1,500.00,26.20860,62.90065,6.46067,15.50560,19.74794,47.39505,0.60230
2,-1,600.00,25.69880,61.16314,5.71701,13.60648,19.98179,47.55666,0.60911
2,-1,700.00,25.01824,59.65064,5.11438,12.19415,19.90386,47.45649,0.60521
2,-1,800.00,24.46872,57.96028,4.55643,10.79306,19.91228,47.16722,0.59769
2,-1,900.00,24.99245,58.84333,4.80832,11.32093,20.18413,47.52241,0.60568
2,-1,1000.00,26.23116,62.16786,5.98564,14.18597,20.24552,47.98189,0.61344
3,-1,100.00,19.84908,34.73588,0.06197,0.10845,19.78710,34.62743,0.45863
3,-1,200.00,21.90936,44.80464,0.89893,1.83831,21.01043,42.96633,0.56322
3,-1,300.00,21.28668,46.47593,1.21425,2.65110,20.07244,43.82482,0.56992
3,-1,400.00,22.80135,52.04408,2.70055,6.16401,20.10080,45.88007,0.59809
3,-1,500.00,22.05902,51.57399,2.40921,5.63274,19.64981,45.94125,0.59021
3,-1,600.00,21.46880,50.73793,2.19778,5.19409,19.27102,45.54384,0.58202
3,-1,700.00,21.88976,50.97186,2.39331,5.57299,19.49645,45.39887,0.57709
3,-1,800.00,22.03858,51.51519,2.57891,6.02819,19.45968,45.48699,0.57367
3,-1,900.00,23.15398,53.74296,3.33538,7.74179,19.81860,46.00117,0.58090
3,-1,1000.00,24.66107,57.85487,4.75426,11.15350,19.90681,46.70137,0.59368
1,-1,100.00,24.25592,43.41810,2.94837,5.27758,21.30755,38.14052,0.47443
1,-1,200.00,23.95571,50.06743,2.87246,6.00343,21.08325,44.06400,0.55873
1,-1,300.00,22.97628,50.93076,2.46436,5.46266,20.51192,45.46810,0.58880
1,-1,400.00,21.49011,49.69588,1.86819,4.32018,19.62192,45.37569,0.58909
